Prime Minister Narendra Modi met Her Majesty Queen Maxima of the Kingdom of the Netherlands today.	প্ৰধানমন্ত্ৰী নৰেন্দ্ৰ মোদীয়ে আজি নেদাৰলেণ্ডছৰ মহাৰাণী মহামহিম মেক্সিমাক সাক্ষাৎ কৰে৷
He gave space to emotions of public life in his poetry.	এইগৰাকী কবিয়ে তেওঁৰ কবিতাত ৰাজহুৱা জীৱনৰ অনুভূতিসমূহক স্থান দিছিল।
He will always be an inspiration for literature world and general people.”	তেওঁ সাহিত্য জগতৰ লগতে সাধাৰণ লোকসকলৰ বাবে এক অনুপ্ৰেৰণা হৈ ৰ’ব।”
Kedarnath Singh was also awarded with Jnanpith Award in 2013.	উল্লেখ্য যে ২০১৩ চনত কেদাৰনাথ সিঙক জ্ঞানপীঠ বঁটাৰে সন্মানীত কৰা হৈছিল।
Greeting the Teachers’ community, and paying tribute to Dr. S. Radhakrishnan on Teachers’ Day, Prime Minister Narendra Modi has said that teachers inspire as well as inform, educate and enlighten.	শিক্ষক দিৱসত শিক্ষক সমূদায়ক অভিনন্দন জনোৱাৰ লগতে ডঃ সর্বপল্লী ৰাধাকৃষ্ণণৰ প্রতি শ্রদ্ধাঞ্জলি নিবেদন কৰি প্রধানমন্ত্রী শ্রী নৰেন্দ্র মোদীয়ে কয় যে শিক্ষকসকলে অনুপ্রেৰণা যোগোৱাৰ সমান্তৰালভাৱে তেওঁলোকে শিক্ষাদান কৰে আৰু আনৰ জীৱন পোহৰাই তোলে।
In an email sent to lakhs of teachers, the Prime Minister mentioned their tremendous influence on the lives of children, and added that the values inculcated by teachers stay with the students for a lifetime.	এক ই-মেল বার্তাত দেশৰ লাখ লাখ শিক্ষকক উদ্দেশ্যি প্রধানমন্ত্রীয়ে শিশুসকলৰ জীৱনত তেওঁলোকৰ গুৰুত্বপূর্ণ প্রভাৱৰ কথা উল্লেখ কৰি কয় যে শিক্ষকসকলে যি মূল্যবোধৰ শিক্ষা শিশুসকলক প্ৰদান কৰে, সেয়া সমগ্ৰ জীৱন তেওঁলোকৰ লগত থাকি যায়।
The Prime Minister quoted former President Dr. APJ Abdul Kalam, who had said: “Teaching is a very noble profession that shapes the character, calibre and future of an individual.”	প্রধানমন্ত্রীয়ে দেশৰ প্রাক্তন ৰাষ্ট্রপতি ডঃ এ পি জে আব্দুল কালামৰ উদ্ধৃতি দি কয়, “শিক্ষকতা এক অতি মহান বৃত্তি আৰু যি এজন ব্যক্তিৰ চৰিত্র, দক্ষতা আৰু ভৱিষ্যৎ গঢ় দিয়ে।”
Shri Narendra Modi said that the 21st century will be shaped by societies that accord topmost importance to education, research, and innovation.	শ্রী নৰেন্দ্র মোদীয়ে কয় যে যিসকলে সমাজ শিক্ষা, গৱেষণা আৰু উদ্ভাৱনক সর্বোচ্চ অগ্রাধিকাৰ দিয়ে, তেওঁলোকেই একৈশ শতিকাৰ ভৱিষ্যৎ নির্ধাৰণ কৰিব।
“Needless to say, this makes the role of our teachers extremely vital,” he added.	“নক’লেও হয় যে এই ক্ষেত্রত শিক্ষকসকলৰ ভূমিকা অতি গুৰুত্বপূর্ণ,” তেওঁ লগতে কয়।
He also mentioned some of the efforts that the Government of India is undertaking to bring about a paradigm shift in the education sector.	তেওঁ লগতে শিক্ষাৰ ক্ষেত্রত ভাৰত চৰকাৰে গ্ৰহণ কৰা কেতবোৰ প্ৰচেষ্টাৰ কথা উল্লেখ কৰে, যিবোকে নতুন পৰিৱর্তনৰ সূচনা কৰিছে।
“Thanks to the monumental efforts of teachers like you, the focus has successfully shifted from outlays to outcomes, from teaching to learning.	প্রধানমন্ত্রীয়ে কয়, “আপোনালোকৰ দৰে শিক্ষকসকলৰ অক্লান্ত পৰিশ্রমৰ বাবে ধন্যবাদ জনাইছো, যাৰ ফলত আমাৰ দৃষ্টি ব্যয়তকৈ ফলাফল আৰু শিক্ষাদানৰ পৰা শিক্ষা গ্রহণৰ প্রতি নিৱদ্ধ হৈছে।
The emphasis on skill development has received a significant push due to the Atal Tinkering Labs.	তেওঁ কয় যে ‘অটল টিংকাৰিং গৱেষণাগাৰ’ৰ দৰে প্ৰচেষ্টাৰ ফলত দক্ষতা বৃদ্ধিৰ কামত গুৰুত্ব বৃদ্ধি পাইছে।
Numerous universities are being set up across India so that no youngster is denied the joys of quality education,” the Prime Minister said.	সমগ্ৰ ভাৰতত যিদৰে অসংখ্য বিশ্ববিদ্যালয় স্থাপিত হৈছে, তাত কোনো ছাত্রই উচ্চমানৰ শিক্ষাৰ আনন্দৰ বঞ্চিত হ’ব নালাগিব।”
Noting that on 2nd October, we mark the start of the 150th birth anniversary celebrations of Mahatma Gandhi, the Prime Minister exhorted the teaching community to take the lead in furthering the thoughts and noble ideals of Bapu in an innovative manner, among the students.	২ অক্টোবৰ মহাত্মা গান্ধীৰ ১৫০তম জন্মবার্ষিকী আয়োজনৰ কথা উল্লেখ কৰি প্রধানমন্ত্রীয়ে বাপুৰ মহান আদর্শক অভিনৱ উপায়েৰে ছাত্র-ছাত্রীসকলৰ মাজত প্ৰসাৰ কৰাৰ ক্ষেত্রত বিশেষ ভূমিকা গ্ৰহণ কৰাৰ বাবে শিক্ষক সমাজৰ প্রতি আহ্বান জনায়।
He appreciated the “stupendous role of the teaching community in strengthening the Swachh Bharat Mission.”	স্বচ্ছ ভাৰত অভিযান সফল কৰাৰ ক্ষেত্রত শিক্ষক সমাজে যি গুৰুত্বপূর্ণ ভূমিকা গ্ৰহণ কৰিছে, তাৰ বাবে প্রধানমন্ত্রীয়ে শিক্ষকসকলক প্রশংসা কৰে।
“I urge you to focus on any issue close to your heart, mobilise local communities and make a positive difference in the lives of those around you.	প্রধানমন্ত্রীয়ে কয়, “আপোনালোকক আহ্বান জনাওঁ যে আপোনালোকে পছন্দ মতে যি কোনো বিষয় বাছি লৈ স্থানীয় জনগোষ্ঠীসমূহক তাৰ সৈতে যুক্ত কৰি সমাজৰ সকলো স্তৰৰ মানুহৰ জীৱনত ইতিবাচক পৰিৱর্তন আনক।
The Union Cabinet chaired by the Prime Minister Shri Narendra Modi has approved the final extension of the term of the Other Backward Classes in the Central List currently mandated upto 20th June 2018, till 31st July, 2018.	প্ৰধানমন্ত্ৰী শ্ৰী নৰেন্দ্ৰ মোদীৰ পৌৰহিত্যত কেন্দ্ৰীয় কেবিনেটে কেন্দ্ৰীয় তালিকাৰ অন্য পিছ পৰা শ্ৰেণীৰ আয়োগৰ বৰ্তমানৰ অন্তিম কাৰ্যকাল ২০ জুন ২০১৮ৰ পৰা বৃদ্ধি কৰি ৩১ জুলাই ২০১৮লৈ বৃদ্ধি কৰাৰ বাবে অনুমোদন প্ৰদান কৰিছে৷
The Prime Minister Shri Narendra Modi has greeted sports enthusiasts on National Sports Day.	প্ৰধানমন্ত্ৰী শ্ৰী নৰেন্দ্ৰ মোদীয়ে ৰাষ্ট্ৰীয় ক্ৰীড়া দিৱস উপলক্ষে দেশৰ ক্ৰীড়াপ্ৰেমীক অভিনন্দন জনাইছে৷
The Prime Minister reviewed a photo exhibit showcasing flood tolerant rice varieties; drought tolerant rice varieties; salinity tolerant rice varieties; and IRRI’s work with women farming cooperatives.	প্ৰদৰ্শনীত বিভিন্ন জাতৰ ধানৰ লগতে খৰাং পৰিস্থিতিতো কোন কোন জাতৰ ধানৰ উৎপাদন অক্ষত থাকে, লুনীয়া পানীতো বাঢ়িব পৰা ধান গছৰ নমুনা তথা মহিলাৰ দ্বাৰ পৰিচালিত কৃষি সমবায় প্রতিষ্ঠানসমূহৰ সৈতে আইআৰআৰআইৰ কর্মপ্রচেষ্টাৰ ছবিও প্রদর্শনীত স্থান লাভ কৰে।
He unveiled a plaque to mark the inauguration of the Shri Narendra Modi Resilient Rice Field Laboratory.	তেওঁ ‘শ্রী নৰেন্দ্র মোদী ধান খেতি গৱেষণা কেন্দ্র’ৰ এখনি নামফলকো উন্মোচন কৰে।
He presented two Indian rice seed varieties to the IRRI gene bank.	প্ৰধানমন্ত্ৰীয়ে আইআৰআৰআই জিন বেংকত দুটি ভিন্ন ভিন্ন জাতৰ ভাৰতীয় ধানৰ বীজ উপহাৰ দিয়ে।
During the course of the visit, the Prime Minister interacted with several Indian scientists working at IRRI.	পৰিদর্শন কালত তেওঁ আইআৰআৰআইত কর্মৰত কেইগৰাকীমান ভাৰতীয় বিজ্ঞানীৰ সৈতেও মত বিনিময়ৰ কৰে।
The Prime Minister also visited the Mahaveer Phillipine Foundation in Manila.	প্রধানমন্ত্রীয়ে আতৰ পাছত মেনিলাৰ মহাবীৰ ফিলিপাইনছ ফাউণ্ডেছনো পৰিদর্শন কৰে।
The Foundation, in association with Mahaveer Viklang Sahayta Samiti, has been instrumental in the fitment of Jaipur Foot to needy amputees.	মহাবীৰ বিকলাংগ সাহাৰ্য সমিতিৰ সৈতে সহযোগিতাৰ ভিত্তিত যিসকলৰ অংগচ্ছেদ হৈছে, তেওঁলোকক জয়পুৰ ফুট প্ৰদানৰ ক্ষেত্রত এই ফাউণ্ডেছনে এক উল্লেখযোগ্য কাম কৰি আহিছে।
Following is the text of the Prime Minister, Shri Narendra Modi’s departure statement prior to his visit to Palestine, United Arab Emirates and Oman.	পেলেষ্টাইন, ইউনাইটেড আৰৱ এমিৰেটছ আৰু ওমানলৈ ৰাওনা হোৱাৰ পূৰ্বে প্ৰধানমন্ত্ৰীয়ে আগবঢ়োৱা বিবৃতিৰ লিখিত ৰূপ— “৯ৰ পৰা ১২ ফেব্ৰুৱাৰীৰ ভিতৰত মই পেলেষ্টাইন, ইউনাইটেড আৰৱ এমিৰেটছ আৰু ওমান ভ্ৰমণৰ সুযোগ লাভ কৰিছো।
We enjoy vibrant multi-dimensional ties with the countries here.	এই দেশসমূহৰ সৈতে আমি এক গতিশীল বহুমুখী সম্পৰ্ক স্থাপন কৰিবলৈ সক্ষম হৈছো।
I look forward to meeting him in Amman on 9th February.	৯ ফেব্ৰুৱাৰীত এম্মানত তেওঁক মই সাক্ষাৎ কৰিম৷
I will be discussing our progress in these areas and more in my meetings with His Highness Sheikh Mohammed bin Rashid Al Maktoum, the Vice President and Prime Minister of UAE and Ruler of Dubai, and His Highness Sheikh Mohamed bin Zayed Al Nahyan, Crown Prince of Abu Dhabi.	বিগত ২০১৫ বৰ্ষৰ আগষ্ট মাহৰ পিছত এইবছৰৰ ১০ আৰু ১১ ফেব্ৰুৱাৰীত মই পুনৰ ইউ.এ.ই ভ্ৰমণৰ সুযোগ পাইছো৷ ইউ.এ.ই হৈছে আমাৰ দেশৰ এক গুৰুত্বপূৰ্ণ কৌশলগত অংশীদাৰ যিয়ে আমাৰ দেশখনৰ অৰ্থনীতি, শক্তি, উন্নত প্ৰযুক্তিবিদ্যা, সুৰক্ষা আদিৰ দৰে মূখ্য বিষয়সমূহৰ উন্নয়নৰ ক্ষেত্ৰত সহযোগিতা আগবঢ়াইছে।
I shall also interact with leading businesspersons of Oman on developing stronger economic and business links with India.	ওমান হৈছে আমাৰ অতি গুৰুত্বপূৰ্ণ সাগৰীয় প্ৰতিবেশী দেশ, যাৰ সৈতে আমি সুন্দৰ সম্পৰ্ক বজাই ৰাখিবলৈ সক্ষম হৈছো।
Oman is a close maritime neighbor with whom we enjoy excellent relations.	মই ওমানৰ সন্মানীয় ৰজা চুলতান আৰু আন শীৰ্ষ নেতাসকলৰ সৈতে আলোচনাত মিলিত হ’ম।
We will review bilateral cooperation and steps to further enhance our traditionally strong links.	ওমান আৰু ইউএই উভয়তেই মই বৃহৎ সংখ্যক প্ৰৱাসী ভাৰতীয়ক লগ পোৱাৰ সুযোগ লাভ কৰিছো।
On 12th February, I will interact with leading businesspersons of Oman on developing stronger economic and business links with India.	৯ মিলিয়নতকৈও অধিক ভাৰতীয় উপ-সাগৰীয় দেশসমূহত কাম কৰাৰ লগতে জীৱিকা নিৰ্বাহ কৰি আছে৷ ইয়াৰে এক তৃতীয়াংশ অকল ওমানতে থাকে৷ ইয়াত তেওঁলোকে এক বৃহৎ প্ৰৱাসী সমুদায় গঠন কৰি আছে।
In both Oman and the UAE, I will have the opportunity to meet the large Indian diasporas that have made those countries their home.	প্ৰৱাসী ভাৰতীয়সকলে ভাৰত আৰু উপ-সাগৰীয় দেশসমূহৰ সৈতে বন্ধুত্বৰ এনাজৰী বৰ্তাই ৰাখিবলৈ সক্ষম হৈছে।
More than 9 million Indians work and live in the Gulf region, of which about one third live in the UAE alone.	লগতে তেওঁলোকে এই দেশৰ প্ৰগতি আৰু সমৃদ্ধি বজাই ৰখাৰ ক্ষেত্ৰত সক্ৰিয় ভূমিকা পালন কৰাও পৰিলক্ষিত হৈছে।
The Prime Minister, Shri Narendra Modi, today dedicated the Kishanganga Hydropower Station to the nation at a function in Srinagar.	শ্ৰীনগৰত আজি এক অনুষ্ঠানত প্ৰধানমন্ত্ৰী শ্ৰী নৰেন্দ্ৰ মোদীয়ে কিষাণগঞ্জ জলবিদ্যুৎ প্ৰকল্প দেশবাসীৰ নামত উচৰ্গা কৰে।
He also laid the foundation stone of the Srinagar Ring Road.	তেওঁ লগতে শ্ৰীনগৰ ৰিং ৰোডৰো আধাৰশিলা স্থাপন কৰে।
Addressing the gathering, the Prime Minister recalled the various occasions in the past four years when he had visited the State of Jammu and Kashmir.	এই উপলক্ষে সমবেত ৰাইজক উদ্দেশ্যি আগবঢ়োৱা ভাষণত প্ৰধানমন্ত্ৰীয়ে বিগত চাৰি বছৰত বিভিন্ন কাৰণত জম্মু আৰু কাশ্মীৰলৈ অহাৰ কথা দোঁহাৰে।
He said that the month of Ramzan is the time to recall the teachings and message of Prophet Muhammad.	তেওঁ কয় যে ৰমজান মাহ হৈছে হজৰত মহম্মদৰ শিক্ষা আৰু বাণীসমূহ স্মৰণ কৰাৰ এক সময়।
The Prime Minister said that the 330 MW Kishanganga Hydropower project would go a long way in fulfilling the electricity requirements of the State.	প্ৰধানমন্ত্ৰীয়ে কয় যে ৩৩০ মেগাৱাট কিষাণগঞ্জ জলবিদ্যুৎ প্ৰকল্পই ৰাজ্যখনৰ দীৰ্ঘদিনীয়া বিদ্যুতৰ প্ৰয়োজনীয়তা পুৰন কৰিব।
These would help financially strengthen both LIC and the bank, as well as their subsidiaries which offer financial products such as housing finance and mutual funds.	ইয়াৰ দ্বাৰা এলআইচি তথা বেংক বিত্তীয় ক্ষেত্ৰত শক্তিশালী হ’ব আৰু তেওঁলোকৰ সহায়ক উদ্যোগক হাউচিং বিত্তপোষণ তথা মিউচুৱেল ফাণ্ডৰ দৰে বিত্তীয় উৎপাদন বজাৰলৈ অনাৰ বাবে সহায়ক হ’ব৷
LIC would get bancassurance (i.e. selling of insurance products by bank) through the bank’s network of 1,916 branches, besides access to bank’s cash management services.	এলআইচিয়ে বেংকৰ গেৰাণ্টী প্ৰাপ্ত কৰিব৷ এলআইচিক বেংকৰ নগদ প্ৰৱন্ধন সেৱা প্ৰাপ্ত কৰোৱাৰ উপৰিও বেংকৰ ১৯১৬টা শাখাৰ নেটৱৰ্কৰ দ্বাৰা বীমা সামগ্ৰী বিক্ৰীৰ কৰাৰ লাভ প্ৰাপ্ত হ’ব৷
The Union Cabinet, chaired by the Prime Minister Shri Narendra Modi, has approved ongoing GSLV continuation programme Phase-4 consisting of five GSLV flights during the period 2021-2024.	প্ৰধানমন্ত্ৰী শ্ৰী নৰেন্দ্ৰ মোদীৰ পৌৰহিত্যত কেন্দ্ৰীয় কেবিনেটে ২০২১-২০২৪ বৰ্ষৰ সময়সীমাৰ বাবে চলিত জিএছএলভিৰ চতুৰ্থ পৰ্যায়ৰ সৈতে পাঁচখন জিএছএলভি বিমানৰ নিৰৱচ্ছিন্নতা অব্যাহত ৰখাত অনুমোদন প্ৰদান কৰিছে৷
The GSLV Programme – Phase 4 will enable the launch of 2 tonne class of satellites for Geo-imaging, Navigation, Data Relay Communication and Space Sciences.	জিএছএলভি কাৰ্যসূচী-পৰ্যায় ৪ৰ দ্বাৰা জিঅ’-ইমেজিং, দিশ নিৰ্ণয়, ডাটা ৰিলে’ যোগাযোগ আৰু মহাকাশ বিজ্ঞানৰৰ বাবে ২ টনৰ উপগ্ৰহ উৎক্ষেপণ কৰিব পৰা যায়৷
Financial implications:	বিত্তীয় প্ৰণয়নঃ
The total fund requirement is Rs. 2729.13 Crores and includes the cost of five GSLV vehicles, essential facility augmentation, Programme Management, and Launch Campaign along with the additional funds required for meeting the scope of the ongoing GSLV Continuation Programme.	মুঠ বিত্তৰ প্ৰয়োজন হ’ল ২৭২৯.১৩ কোটি টকা আৰু ইয়াত পাঁচখন জিএছএলভি বাহন, প্ৰয়োজনীয় উৎক্ষেপণ ব্যৱস্থা, কাৰ্যসূচী ব্যৱস্থাপনা আৰু উৎক্ষেপণ শিবিৰ লগতে চলিত জিএছএলভি কাৰ্যসূচীৰ অতিৰিক্ত ব্যয়ো অন্তৰ্ভুক্ত আছে৷
The GSLV Continuation Programme – Phase 4 will meet the launch requirement of satellites for providing critical Satellite Navigation Services, Data Relay Communication for supporting the Indian Human spaceflight programme and the next interplanetary mission to Mars.	জিএছএলভি অব্যাহত কাৰ্যসূচী- পৰ্যায় ৪ৰ দ্বাৰা গুৰুত্বপূৰ্ণ উপগ্ৰহ দিশ নিৰ্ণায়ক সেৱা, মঙললৈ ভাৰতীয় মানৱ মহাকাশযান প্ৰেৰণৰ বাবে ডাটা ৰিলে’ যোগাযোগ আদি সমাপন কৰা হৈছে৷
Implementation Strategy and targets:	প্ৰণয়ন কৌশল আৰু লক্ষ্যসমূহঃ
The GSLV Continuation Programme – Phase 4 will meet the demand for the launch of satellites at a frequency up to two launches per year, with maximal participation by the Indian industry.	জিএছএলভি অব্যাহত কাৰ্যসূচী- পৰ্যায় ৪য়ে প্ৰতি বছৰে সৰ্বাধিক দুখনকৈ বাহন উৎক্ষেপণ কৰাৰ ক্ষমতা আহৰণ কৰিব পাৰে৷ সকলো কাৰ্যকৰী উৰণ ২০২১-২৪ বৰ্ষৰ সময়সীমাৰ ভিতৰত সম্পূৰ্ণ কৰা হ’ব৷
The operationalization of GSLV has made the country self-reliant in the launching capability of 2 tonne class of satellites for communication & meteorological satellites.	জিএছএলভিৰ কাৰ্যকৰণে ভাৰতক ২ টন উপগ্ৰহ উৎক্ষেপণৰ ক্ষেত্ৰত স্বনিৰ্ভৰশীল কৰি তুলিছে৷ জিএছএলভি অব্যাহত কাৰ্যসূচীৰ দ্বাৰা ভৱিষ্যতলৈও সদৃশ ধৰণৰ উপগ্ৰহ উৎক্ষেপণৰ সামৰ্থ অব্যাহত থাকিব৷
The Union Cabinet chaired by Prime Minister Shri Narendra Modi has approved renaming of Jharsuguda Airport, Odisha as “Veer Surendra Sai Airport, Jharsuguda”	প্ৰধানমন্ত্ৰী শ্ৰী নৰেন্দ্ৰ মোদীৰ অধ্যক্ষতাত অনুষ্ঠিত কেন্দ্ৰীয় কেবিনেটে ওড়িষাৰ ঝাৰছুগুড়া বিমানবন্দৰক ‘বীৰ সুৰেন্দ্ৰ ছাই বিমানবন্দৰ’ নামেৰে নামকৰণ কৰাত অনুমোদন জনাইছে৷
The Union Cabinet Chaired by Prime Minister Shri Narendra Modi has approved the renewal of Long Term Agreements (LTAs) for supply of iron ore (lumps and fines) of grade +64% Fe content to Japanese Steel Mills (JSMs) and POSCO, South Korea for another five years (i.e. 1.4.2018 upto 31.3.2023) through MMTC Limited.	প্ৰধানমন্ত্ৰী শ্ৰী নৰেন্দ্ৰ মোদীৰ অধ্যক্ষতাত অনুষ্ঠিত কেবিনেট বৈঠকত এমএমটিচি লিমিটেডৰ জৰিয়তে জাপানীজ ষ্টীল মিলছ (জেএছএম) আৰু দক্ষিণ কোৰিয়াৰ পস্কোক +৬৪ গ্রেডৰ লো আকৰ যোগানৰ উদ্দেশ্যে স্বাক্ষৰিত দীর্ঘম্যাদী চুক্তিৰ ম্যাদ আৰু পাঁচ বছৰ(অৰ্থাৎ ১.০৪.২০১৮ৰ পৰা ৩১.০৩.২০২৩লৈ) বৃদ্ধি কৰাৰ প্রস্তাৱত অনুমোদন জনায়।
1. The present LTAs are valid until 31.3.2018.	বৰ্তমানৰ দীৰ্ঘম্যাদী চুক্তিখনৰ ম্যাদ ৩১.০৩.২০১৮লৈ আছিল।
The renewed LTAs with steel mills of Japan and POSCO, South Korea shall be for a period of five years from 1.4.2018 to 31.3.2023.	নবীকৰণৰ জৰিয়তে জাপানীজ ষ্টীল মিলছ (জেএছএম) আৰু দক্ষিণ কোৰিয়াৰ পস্কোৰ মাজত স্বাক্ষৰিত দীর্ঘম্যাদী চুক্তিৰ ম্যাদ ১.০৪.২০১৮ৰ পৰা ৩১.০৩.২০২৩লৈ পাঁচ বছৰৰ বাবে বৃদ্ধি কৰা হয়।
3. The quantities of iron ore proposed for supply to JSMs and POSCO, South Korea through MMTC Limited under these LTAs will be of grade +64% Fe content.	এই দীৰ্ঘম্যাদী চুক্তিৰ অধীনত এমএমটিচিৰ জৰিয়তে জেএছএম আৰু পস্কোক +৬৪ গ্রেডৰ লো আকৰ যোগান ধৰা হ’ব।
The break up is as follows:-	তাৰ পৰিমাণ নিম্নোলিখিত ধৰণৰঃ-
3.00 ~ 4.30 million tons per annum	বছৰি ৩ৰ পৰা ৪.৩০ মিলিয়ন টন
0.80 ~1 .20 million tons per annum	বছৰি ০.৮০ৰ পৰা ১.২০ মিলিয়ন টন
4. The existing policy of single agency operation and exports through MMTC, with trading margin of 2.8% of FOB price, shall be continued.	এমএমটিচিৰ দ্বাৰা ৰপ্তানি কৰিবলগীয়া একক এজেন্সিৰ কাম-কাজ আৰু ইয়াৰ ধাৰ্য কৰা এফঅ’বি দৰ ২.৮য়েই বাহাল থাকিব।
Export of iron ore under the LTAs would help to strengthen India’s bilateral ties with long-standing partner countries, Japan and South Korea secure an export market and result in inflow of foreign exchange.	দীৰ্ঘম্যাদী চুক্তিৰ অধিনত লো আকৰ ৰপ্তানিৰ জৰিয়তে ভাৰত আৰু দক্ষিণ কোৰিয়াৰ মাজৰ দ্বিপাক্ষিক সম্পৰ্ক শক্তিশালী হোৱাৰ লগতে বৈদেশিক মুদ্ৰাৰ প্ৰবাহো বৃদ্ধি কৰিব।
The agreement will enable India to secure international market for its ores and ensure stable economic ecosystem which provides direct and indirect employment in mining, logistics and related sectors.	এই চুক্তিখনে লো আকৰৰ ক্ষেত্ৰত ভাৰতৰ আন্তঃৰাষ্ট্ৰীয় বজাৰৰ সুৰক্ষা প্ৰদান কৰাৰ লগতে সুস্থিৰ অৰ্থনৈতিক ব্যৱস্থা সুনিশ্চিত কৰিব, যিটোৱে খনি, লজিষ্টিক আৰু অন্যান্য প্ৰাসংগিক খণ্ডত প্ৰত্যক্ষ আৰু পৰোক্ষভাৱে সংস্থাপনৰো সৃষ্টি কৰিব।
The history of India’s iron ore exports to Japan is almost six decades old and is a consistent component of India’s bilateral relations with Japan.	জাপানলৈ লো আকৰ যোগান ধৰা ভাৰতৰ ইতিহাস অতি পুৰণি আৰু ই দুয়োখন দেশৰ মাজৰ দ্বিপাক্ষিক সম্পৰ্কৰ ধাৰাহিকতা অক্ষুণ্ণ ৰখাত এক উপাদান হিচাপে কাম কৰিছে।
PM unveiled several development projects from Perumanallur village in Tiruppur.	প্ৰধানমন্ত্ৰীয়ে তিৰুপুৰৰ পেৰুমানালুৰ গাঁওৰ পৰা কেইবাটাও উন্নয়নমূলক প্ৰকল্প মুকলি কৰে৷
MHRD would assist the Ministry of Higher Education, Afghanistan in the areas of Curriculum Development and Capacity Development of Teaching Staff.	এই বুজাবুজিৰ মাধ্যমেৰে উভয় দেশে শৈক্ষিক যোগ্যতাক পাৰস্পৰিক মান্যতা প্ৰদান কৰিবলৈ এক চুক্তিত স্বাক্ষৰ কৰে৷ চুক্তিখন দুয়োখন দেশৰ শিক্ষা খণ্ডৰ বাবে এক উল্লেখনীয় মাইলৰ খুঁটি হিচাপে বিবেচিত হ’ব৷
He observed that all Governors can become catalytic agents for change in society, while upholding the sanctity of the Constitution.	সংবিধানৰ মর্যাদা আৰু পবিত্রতাক ৰক্ষা কৰাৰ কামত ৰাজ্যপালসকল সংকল্পৱদ্ধ বাবে প্ৰধানমন্ত্ৰীয়ে তেওঁলোকক সমাজৰ পৰিৱর্তন নিশ্চিত কৰাৰ ক্ষেত্রত এক অনুঘটকৰ ভূমিকা পালন কৰিব পাৰে বুলি কয়।
Mentioning the target of New India by 2022, the Prime Minister emphasized that this can be achieved only by making it a people’s movement.	‘নতুন ভাৰত’ গঢ়াৰ লক্ষ্যৰে শিক্ষক আৰু ছাত্র-ছাত্রীসকলৰ সৈতে বিশদ ভাৱে আলোচনা কৰাৰ বাবে তেওঁ বিভিন্ন ৰাজ্যৰ ৰাজ্যপালসকলক পৰামৰ্শ আগবঢ়ায়।
He encouraged Governors to interact at length with students and teachers in this regard.	কেন্দ্রীয় চৰকাৰ শেহতীয়াভাৱে আয়োজন কৰা হেকাথনৰ উদাহৰণ দি প্রধানমন্ত্রীয়ে কয় যে বিশ্ববিদ্যালয়সমূহক একো একোটা উদ্ভাৱন কেন্দ্র ৰূপে নিজেই গঢ়ি তোলা উচিৎ।
In the same vein, he said youth in every State must focus on one sport.	স্বচ্ছতাৰ অভিযানত নেতৃত্ব দিয়াৰ বাবে তেওঁ ৰাজ্যপালসলক উৎসাহ যোগায়।
The Prime Minister said that festivals and anniversaries can be great motivators and energizers in the quest for change.	প্ৰধানমন্ত্ৰী মোদীয়ে কয় যে বিভিন্ন উৎসৱ আৰু বর্ষপূর্তিৰ অনুষ্ঠান পালন পৰিৱর্তনৰ লক্ষ্যৰে আমাৰ শক্তি আৰু সাহস যোগায়।
He said that Governors can also motivate banks to give loans under Mudra to tribals, Dalits and women, especially in the period between Constitution Day on November 26th, and Ambedkar Mahaparinirvana Diwas on December 6th.	অহা ২৬ নৱেম্বৰত সংবিধান দিবস আৰু ৬ ডিচেম্বৰত আম্বেদকাৰৰ মহাপৰিনির্বাণ দিবস–এই সময়ছোৱাৰ ভিতৰত সেই বিশেষ বিশেষ শ্রেণীৰ মানুহে যাতে ঋণ সাহাৰ্যৰ সুযোগ পাব পাৰে, সেয়াও নিশ্চিত কৰাৰ আহ্বান জনায় প্ৰধানমন্ত্ৰীয়ে।
The Prime Minister encouraged Lt. Governors of Union Territories to share the best practices being adopted by them in areas such as solar energy, DBT, and making Union Territories kerosene free.	সৌৰ শক্তি, প্রত্যক্ষ লাভ হস্তান্তৰ আৰু কেন্দ্রীয় শাসিত অঞ্চলসমূহত কেৰাচিনমুক্ত কৰাৰ কার্যসূচী সফল কৰি তুলিবলৈ বিভিন্ন কেন্দ্রীয় শাসিত অঞ্চলৰ উপ-ৰাজ্যপালসকলক অনুপ্রাণিত কৰে প্রধানমন্ত্রীয়ে।
The Union Cabinet chaired by Prime Minister Shri Narendra Modi was apprised of the Memorandum of Understanding (MoU) signed between India and Denmark on technical cooperation in the field of Sustainable and Smart Urban Development in April, 2018.	প্ৰধানমন্ত্ৰী শ্ৰী নৰেন্দ্ৰ মোদীৰ অধ্যক্ষতাত অনুষ্ঠিত কেবিনেট বৈঠকত বহনযোগ্য আৰু স্মাৰ্ট নগৰ উন্নয়নৰ ক্ষেত্ৰত ভাৰত আৰু ডেনমাৰ্কৰ মাজত কাৰিকৰী সহযোগিতা সন্দৰ্ভত চলিত বৰ্ষৰ এপ্ৰিল মাহত স্বাক্ষৰিত বুজাবুজি চুক্তিত অনুমোদন জনায়।
