Prime Minister Narendra Modi met Her Majesty Queen Maxima of the Kingdom of the Netherlands today.	নতুন দিল্লিতে সোমবার প্রধানমন্ত্রী শ্রী নরেন্দ্র মোদীর সঙ্গে নেদারন্যান্ডসের মহারানী ম্যাক্সিমা সাক্ষাৎ করেন।
We took note of the following events held under India’s BRICS Chairpersonship before the Goa Summit.	নয়া দিল্লি: গোয়া শীর্ষ সম্মেলনের আগে ভারতের ব্রিকস চেয়ারম্যানশিপের অধীনে আমরানিম্নলিখিত ঘটনাবলীর তথ্য গ্রহণ করেছি
Meeting of BRICS Ministers of Foreign Affairs/International Relationson the margins of UNGA (20 September 2016, New York) 9.	ব্রিকস-এর বিদেশমন্ত্রী/সংযুক্তরাষ্ট্রসংঘের সাধারণ সভার অতিরিক্ত আন্তর্জাতিক সম্পর্ক বিষয়ক মন্ত্রীদের বৈঠক (২০সেপ্টেম্বর ২০১৬, নিউ ইয়র্ক)
Meeting of BRICS Senior Officials for Anti-Corruption (16 March 2016 on the margins of OECD Anti-Bribery Convention in Paris; 8 June 2016 on the margins of 2nd G20 ACWG meeting in London) 16.	ব্রিকস-এরদুর্নীতি-বিরোধী উচ্চপদস্থ আধিকারিকদের বৈঠক (১৬ মার্চ ২০১৬, প্যারিসের ও.ই.সি.ডি.ঘুষ-বিরোধী সম্মেলনের অতিরিক্ত; ৮ জুন ২০১৬ লন্ডনে দ্বিতীয় জি-২০ এ.সি.ডব্লিউ.জি.বৈঠকের অতিরিক্ত)
2nd BRICS Contingent Reserve Arrangement Governing Council Meeting (6 October 2016, Washington) 42.	ব্রিকসকন্টিনজেন্ট রিজার্ভ এরেঞ্জমেন্ট-এর গভর্নিং কাউন্সিলের দ্বিতীয় বৈঠক (৬ অক্টোবর২০১৬, ওয়াশিংটন)
BRICS Working Group on Geospatial Technology and Application (2 March 2016, Noida) 43.	৪২.জিওস্পেটিয়াল প্রযুক্তি ও ব্যবহার নিয়ে ব্রিকস-এর কর্মীগোষ্ঠীর বৈঠক (২ মার্চে২০১৬, নয়ডা)
2nd Meeting of the BRICS Astronomy Working Group (8 September 2016, Ekaterinburg) 49.	ব্রিকসঅ্যাস্ট্রোনমি ওয়ার্কিং গ্রুপের দ্বিতীয় বৈঠক (৮ সেপ্টেম্বর ২০১৬, একাটেরিনবার্গ)
BRICS Business Forum (13 October 2016, New Delhi)	ব্রিকস বানিজ্য ফোরাম (১৩ অক্টোবর ২০১৬, নয়াদিল্লি)
BRICS Local Bodies’ Conference (Focus: Budgeting)	ব্রিকস-এর স্থানীয় সংস্থার সম্মেলন (লক্ষ্য:বরাদ্দকরণ)
KEY INITIATIVES DURING INDIA’S BRICS CHAIRMANSHIP	ভারতের ব্রিকস চেয়ারম্যানশিপের আমলে প্রধান উদ্যোগ
He was addressing a large gathering in Itanagar, after dedicating to the Nation the Harmuti-Naharlagun Rail Line.	হারমুতি – নাহারলাগুন রেল লাইনটি জাতির উদ্দেশে উৎসর্গ করে তিনি ইটানগরে এক বিপুল জনসমাবেশে ভাষণ দিচ্ছিলেন।
The Prime Minister flagged off an AC Express between Naharlagun and New Delhi; and the Inter-City Express between Naharlagun and Guwahati.	প্রধানমন্ত্রী নাহারলাগুন ও নয়াদিল্লির মধ্যে একটি বাতানুকূল এক্সপ্রেস ট্রেনের এবং নাহারলাগুন ও গুয়াহাটির মধ্যে একটি ইন্টারসিটি এক্সপ্রেসের যাত্রা সূচনা করেন।
The Prime Minister inaugurated the Festival of Arunachal 2015, and released a souvenir to mark the 29th Statehood Day of Arunachal Pradesh.	প্রধানমন্ত্রী অরুণাচল উৎসব, ২০১৫`র উদ্বোধন করে অরুণাচলপ্রদেশের ২৯তম রাজ্যস্থাপনা দিবস উপলক্ষ্যে একটি স্মরকগ্রন্থ আনুষ্ঠানিক প্রকাশ করেন।
He inaugurated a Water Supply Scheme for Itanagar and laid the Foundation Stone of a 132 KV Transmission Line.	ইটানগরের জন্য একটি জল সরবরাহ প্রকল্পের সূচনা করে তিনি ১৩২ কিলোভোল্টের একটি বিদ্যুৎ সরবরাহ লাইনের ভিত্তিপ্রস্তর স্থাপন করেন।
The Prime Minister emphasized that poor connectivity was the biggest reason for under-development in the north-east, and these projects would contribute to improving connectivity.	প্রধানমন্ত্রী জোর দিয়ে বলেন যে, যোগাযোগ ব্যবস্থায় ঘাটতি উত্তর-পূর্বের উন্নয়ন না হওয়ার সব থেকে বড় কারণ এবং এই প্রকল্পগুলি যোগাযোগ ব্যবস্থার উন্নতিতে সাহায্য করবে।
He said Arunachal Pradesh could provide electricity to the entire country.	তিনি বলেন, অরুণাচল প্রদেশ গোটা দেশকে বিদ্যুৎ সরবরাহ করতে পারে।
He called for development of the state’s hydropower potential, simultaneously providing proper compensation to people who get displaced by hydropower projects.	এই রাজ্যে জলবিদ্যুৎ উৎপাদন সম্ভাবনার বিকাশের জন্য আহ্বান জানিয়ে তিনি জলবিদ্যুৎ প্রকল্প গড়ে তোলার কারণে অন্যত্র সরে যাওয়া মানুষকে ক্ষতিপূরণ দেওয়ার কথাও বলেন।
He said “Make in Northeast” was being envisaged as an integral part of “Make in India.”	তিনি আরও বলেন, `মেক ইন ইন্ডিয়া` – এর একটি অভিন্ন অঙ্গ হিসাবে `মেক ইন নর্থ-ইস্টের` পরিকল্পনা করা হচ্ছে।
The Prime Minister said Ministers and senior officers of the Union Government are now working in close coordination with the Northeast states to remove bottlenecks in development.	প্রধানমন্ত্রী বলেন, উন্নয়নের ক্ষেত্রে যে সকল বাধা-বিপত্তি রয়েছে তা দূর করতে কেন্দ্রীয় মন্ত্রী ও কেন্দ্র সরকারের উচ্চপদস্থ আধিকারিকরা উত্তর-পূর্বের রাজ্যগুলির সঙ্গে এখন ঘনিষ্ঠ সমন্বয় বজায় রেখে কাজ করছে।
The Governor of Arunachal Pradesh Lt. Gen. Nirbhay Sharma (Retd.), the Chief Minister of Arunachal Pradesh Shri Nabam Tuki, the Union Minister for Railways Shri Suresh Prabhu, the Union MoS for Railways Shri Manoj Sinha, and the Union MoS for Home Shri Kiren Rijiju were present on the occasion.	এই উপলক্ষ্যে, অরুণাচল প্রদেশের রাজ্যপাল লেঃ জেনারেল (অবসরপ্রাপ্ত) নির্ভয় শর্মা, রাজ্যের মুখ্যমন্ত্রী শ্রী নবম টুকি, কেন্দ্রীয় রেল মন্ত্রী শ্রী সুরেশ প্রভু, রেল প্রতিমন্ত্রী শ্রী মনোজ সিনহা ও স্বরাষ্ট্র প্রতিমন্ত্রী শ্রী কিরেন রিজিজু উপস্থিত ছিলেন।
I am keenly looking forward to my three nation tour of Seychelles, Mauritius and Sri Lanka on March 10-14.	নয়াদিল্লি, ১০ মার্চ, ২০১৫ প্রধানমন্ত্রী শ্রী নরেন্দ্র মোদী আজ সেশেল্স, মরিশাস ও শ্রীলঙ্কা সফরের জন্য রওনা হলেন।
We have a strong, multifaceted and important relationship with each, and they all occupy a very important place in our foreign policy.	যাত্রা শুরুর আগে তিনি জানান, ভারতের এই তিনটি দেশের সঙ্গেই দৃঢ়, বহুমুখী ও গুরুত্বপূর্ণ সম্পর্ক রয়েছে, আর তিনটি দেশই ভারতের বিদেশ নীতিতে গুরুত্বপূর্ণ স্থান অধিকার করে।
India attaches paramount importance to strengthening relations with this region, which is vital for India’s security and progress.	এই অঞ্চলের সঙ্গে সম্পর্ক ঘনিষ্ঠ করার প্রতি ভারত বিশেষ গুরুত্ব দেয় কেননা ভারতের নিরাপত্তা ও উন্নয়নের ক্ষেত্রে এই অঞ্চল বিশেষ গুরুত্বপূর্ণ।
My first destination will be Seychelles.	প্রধানমন্ত্রী বলেন, তাঁর প্রথম গন্তব্য হবে সেশেল্স।
India’s relationship with Seychelles has been built on the foundation of mutual trust and shared values.	সে দেশের সঙ্গে ভারতের সম্পর্ক, পারস্পরিক আস্থা ও অভিন্ন মূল্যবোধের ভিত্তির ওপর সুপ্রতিষ্ঠিত।
My visit to Seychelles will be the first Prime Ministerial visit to Seychelles since 1981.	১৯৮১-র পর এই প্রথম কোন প্রধানমন্ত্রী সেশেল্স সফরে যাচ্ছেন।
I am keenly looking forward to my meeting with President James Michel, a great friend of India.	প্রধানমন্ত্রী জানিয়েছেন, তিনি সেশেল্স-এর রাষ্ট্রপ্রধান ও ভারতবন্ধু জেম্স মিশেলের সঙ্গে বৈঠকের অপেক্ষায় রয়েছেন।
On March 11-12, I will be in Mauritius.	আগামীকাল ও ১২ তারিখ প্রধানমন্ত্রী থাকবেন মরিশাসে।
My visit to Mauritius will aim to strengthen our age-old civilizational ties with “Chhota Bharat”.	মরিশাসের সঙ্গে ভারতের সুপ্রাচীন সম্পর্ক আরও ঘনিষ্ঠ করার লক্ষ্যেই ‘ছোটা ভারত’-এ তাঁর এই সফর বলে প্রধানমন্ত্রী জানান।
I am honoured to be invited to address the National Assembly of Mauritius.	প্রধানমন্ত্রী মরিশাসের সংসদে ভাষণ দেবেন।
I will be participating in the joint commissioning of Indian-built Offshore Patrol Vessel Barracuda, and in the beginning of construction works for the building of World Hindi Secretariat.	এছাড়া, ভারতে তৈরি উপকূল প্রহরা জাহাজ ব্যারাকুডার যৌথ উদ্বোধনী অনুষ্ঠানেও প্রধানমন্ত্রী অংশ নেবেন।
I look forward to discussing with Prime Minister Sir Anerood Jugnauth ways in which we can further deepen our strategic partnership.	মরিশাসের প্রধানমন্ত্রী স্যর অনিরুদ জগন্নাথের সঙ্গে প্রধানমন্ত্রীর বৈঠক হবে যেখানে দু’দেশের অংশীদারিত্বমূলক সম্পর্ক আরও গভীর করার লক্ষ্যে আলোচনা হবে।
I also look forward to meeting the entire political leadership of Mauritius, which has provided unstinting support for this relationship.	এছাড়া, সে দেশের রাজনৈতিক নেতৃত্বের সঙ্গে প্রধানমন্ত্রী আলোচনায় বসবেন।
My visit to Sri Lanka will be the first standalone Prime Ministerial visit to Sri Lanka since 1987.	শ্রীলঙ্কায় প্রধানমন্ত্রী মোদীর এবারের সফর ১৯৮৭-র পর ভারতীয় কোন প্রধানমন্ত্রীর ঐ দ্বীপ রাষ্ট্রে প্রথম সফর।
This will be our second Summit in a month’s time since the visit of President Maithripala Sirisena to India last month.	শ্রীলঙ্কার রাষ্ট্রপতি মৈত্রিপালা সিরিসেনার গত মাসের ভারত সফরের পর এক মাসের মধ্যে দুই রাষ্ট্রনেতার মধ্যে আবার বৈঠক হবে।
I see this visit as an opportunity to further strengthen our relationship in all its dimensions – political, strategic, economic, cultural, and above all, people to people contacts.	তাঁর এই সফরকে প্রধানমন্ত্রী সবদিক থেকে, অর্থাৎ রাজনৈতিক, কৌশলগত, অর্থনৈতিক, সাংস্কৃতিক এবং মানুষে মানুষে যোগাযোগের দিক থেকে দু’দেশের সম্পর্ককে আরও নিবিড় করবে বলে প্রধানমন্ত্রী আশা প্রকাশ করেছেন।
This visit is also part of my objective of maintaining frequent contact with our neighbouring countries.	এই সফর প্রতিবেশী দেশগুলির সঙ্গে নিরন্তর যোগাযোগ রাখার ব্যাপারে প্রধানমন্ত্রীর অভিপ্রায়ের অঙ্গ হিসেবেই দেখা হচ্ছে।
I am delighted with the opportunity to visit one of our most important neighbours.	ভারতের অত্যন্ত গুরুত্বপূর্ণ প্রতিবেশী দেশ শ্রীলঙ্কায় সফরের সুযোগ পেয়ে প্রধানমন্ত্রী আনন্দিত বলে জানিয়েছেন।
The Prime Minister Shri Narendra Modi has congratulated ISRO for the successful launch of PSLV.	প্রধানমন্ত্রী শ্রী নরেন্দ্র মোদী পিএসএলভি-র সফল উৎক্ষেপণের জন্য ভারতীয় মহাকাশ গবেষণা সংস্থা বা ইসরোকে অভিনন্দন জানিয়েছেন।
This launch has put in orbit Kalamsat, built by India’s talented students.	এই উৎক্ষেপণ ভারতের মেধাবী ছাত্রছাত্রীদের তৈরি করা কালামস্যাট উপগ্রহটিকে নির্দিষ্ট কক্ষপথে স্থাপিত করেছে।
The Prime Minister, Shri Narendra Modi, today interacted with the Collectors of the four States of Uttar Pradesh, Bihar, Odisha, and Jammu and Kashmir.	উত্তরপ্রদেশ,বিহার, ওড়িশা এবং জম্মু ও কাশ্মীরের কালেক্টরদের সঙ্গে আজ এক বৈঠকে মিলিত হলেন প্রধানমন্ত্রীশ্রী নরেন্দ্র মোদী।
He reviewed the progress towards ODF (Open Defecation Free) targets in each of these States.	এই চারটি রাজ্যের প্রত্যেকটিতে উন্মুক্ত স্থানে প্রাকৃতিককাজকর্ম বন্ধ করার যে উদ্যোগ গ্রহণ করা হয়েছে, তার অগ্রগতির বিষয়টি তিনি তাঁদেরসঙ্গে এদিন পর্যালোচনা করেন।
He said teams should be formed at the district level to monitor progress.	কর্মসূচির অগ্রগতির ওপরনজর রাখার জন্য রাজ্যগুলির বিশেষ দল গঠন করা উচিৎ বলে তিনি মনে করেন।
He said that efforts should be made to convert this mission into a Jan-Andolan (Mass Movement).	শ্রী মোদীবলেন, এই বিশেষ কর্মসূচিটিকে একটি জন-আন্দোলনের রূপ দেওয়া উচিৎ।
The Prime Minister, Shri Narendra Modi has spoken to Chief Minister of Kerala Shri Pinarayi Vijayan regarding flood situation in the state.	কেরলের বন্যা পরিস্থিতি নিয়ে ঐ রাজ্যের মুখ্যমন্ত্রী শ্রী পিনারাই বিজয়নের সঙ্গে কথাবার্তা বলেছেন প্রধানমন্ত্রী শ্রী নরেন্দ্র মোদী।
The Prime Minister said, “Spoke to Kerala CM Shri Pinarayi Vijayan and discussed the situation arising due to floods in various parts of the state.	প্রধানমন্ত্রী বলেছেন, কেরলের মুখ্যমন্ত্রী শ্রী পিনারাই বিজয়নের সঙ্গে কথা বলে ঐ রাজ্যের বিভিন্ন অংশের বন্যা পরিস্থিতি নিয়ে আলাপ-আলোচনা করেছেন তিনি।
Offered all possible assistance to those affected.	বন্যা প্রভাবিত সকলকে প্রয়োজনীয় সহায়তা প্রদানের আশ্বাসও প্রধানমন্ত্রী দিয়েছেন।
I believe that Mahatma Gandhi is still as relevant in today’s world as he was in his lifetime: Shri Narendra Modi	আমি বিশ্বাস করি, মহাত্মা গান্ধী বর্তমান বিশ্বে যতটা প্রাসঙ্গিক, তাঁর জীবৎকালেও তিনি ঠিক ততটা প্রাসঙ্গিক ছিলেন : শ্রী নরেন্দ্র মোদী।
Ever since he tookover as the Prime Minister of India, Shri Narendra Modi ensured that Mahatma Gandhi’s ideals, principles and teachings are held aloft, both in India and abroad, through his speeches and actions.	ভারতের প্রধানমন্ত্রী হিসাবে দায়িত্ব গ্রহণের সময় থেকেই শ্রী নরেন্দ্র মোদী দেশে ও বিদেশে যেখানেই ভাষণ দিয়েছেন, সেখানেই মহাত্মা গান্ধীর আদর্শ, নৈতিকতা ও শিক্ষাদর্শগুলিকে তুলে ধরেছেন।
It is a depiction of the Dandi March by the Mahatma, and 80 of his fellow Satyagrahis – the occasion when a pinch of salt rocked the colonial rule.	মহাত্মা ও তাঁর অনুগামী ৮০ জন সত্যাগ্রহীর ডান্ডি অভিযান এমন এক ঘটনা, যা ঔপনিবেশিক শাসনের ভীত নড়িয়ে দিয়েছিল।
For the past four and half years, the scheme has been transformingthe length and breadth of India.	বিগত সাড়ে চার বছরে এই অভিযান ভারতে ব্যাপক এবং সর্বব্যাপী পরিবর্তন নিয়ে এসেছে।
It has resulted in heightened awareness among the general public.	এমনকি, সাধারণ মানুষের মনেও স্বচ্ছ ভারত সম্পর্কে সচেতনতা কয়েকগুণ বেড়েছে।
Khadi was a subject that Mahatma Gandhi brought to the core of India’s consciousness during the freedom struggle.	মহাত্মা গান্ধী স্বাধীনতা সংগ্রামের সময়ে খাদি শিল্পকে সমগ্র ভারতবাসীর হৃদয়ের সঙ্গে জুড়ে দেওয়ার চেষ্টা করেছিলেন।
The interest in Khadi had waned since those heady days.	স্বাধীনতা সংগ্রামের যন্ত্রণার দিনগুলিতে খাদি শিল্প মৃতপ্রায় হয়ে পড়েছিল।
But it has been revived by the Prime Minister, especially through his speeches.	কিন্তু এখন প্রধানমন্ত্রী তাঁর বিভিন্ন ভাষণ ও বক্তৃতার মাধ্যমে খাদি শিল্পের পুনরুজ্জীবন ঘটিয়েছেন।
To commemorate Mahatma Gandhi’s vision, the Mahatma Gandhi International Sanitation Convention (MGISC) was held in New Delhi from 29 September to 2 October, 2018.	এই লক্ষ্যে মহাত্মা গান্ধীর দূরদৃষ্টি ও পরিকল্পনাগুলির বাস্তবায়নে গত বছরের ২৯ সেপ্টেম্বর থেকে দোসরা অক্টোবর পর্যন্ত নতুন দিল্লিতে মহাত্মা গান্ধী আন্তর্জাতিক অনাময় সম্মেলনের আয়োজন করা হয়।
The 4-day event saw ministers and sanitation sector leaders from all around the world participating and share their experiments and experiences.	চার দিনের এই সম্মেলনে বিভিন্ন দেশের মন্ত্রী ও স্বাস্থ্যবিধান ক্ষেত্রের সঙ্গে যুক্ত বিশেষজ্ঞরা যোগ দেন এবং তাঁদের অমূল্য মতামত ও অভিজ্ঞতা বিনিময় করেন।
The project created a global appeal to a beautiful Indian bhajan.	শুধু তাই নয়, এই ভজন সমগ্র বিশ্বে এক আবেগের সঞ্চার করেছে।
Shri Narendra Modi also brought the Sabarmati Ashram, set up by Mahatma Gandhi in Ahmedabad, to the forefront of Indian diplomacy.	শ্রী নরেন্দ্র মোদী আমেদাবাদে মহাত্মা গান্ধীর তৈরি সবরমতী আশ্রমকে ভারতীয় কূটনীতির অগ্রভাগে নিয়ে এসেছেন।
In his presence, key global leaders, including Chinese President Xi Jinping, Israeli Prime Minister Benjamin Netanyahu to Chinese President Mr. Xi Jinping and Japanese Prime Minister Shinzo Abe, have visited Sabarmati Ashram to pay homage to the Mahatma.	শ্রী মোদীর উপস্থিতিতে চিনা রাষ্ট্রপতি শি জিংপিং থেকে ইজরায়েলের প্রধানমন্ত্রী বেনজামিন নেতানিয়াহু এমনকি, জাপানের প্রধানমন্ত্রী সিনজো আবে সবরমতী আশ্রমে এসে মহাত্মার প্রতি শ্রদ্ধা জানিয়ে গেছেন।
A Mahatma Gandhi Museum was inaugurated at Alfred High School, Rajkot in 2018.	রাজকোটে ২০১৮’য় আলফ্রেড হাইস্কুলে মহাত্মা গান্ধী সংগ্রহালয়ের উদ্বোধন করা হয়।
This was the school from where Mahatma Gandhi passed his matriculation in 1887.	মহাত্মা গান্ধী এই বিদ্যালয় থেকে ১৮৮৭-তে মেট্রিক পরীক্ষায় উত্তীর্ণ হয়েছিলেন।
He has used Mahatma Gandhi’s teachings to mobilize people and to further the mission of creating a New India.	শ্রী মোদী সাধারণ মানুষকে উদ্বুদ্ধ করতে মহাত্মা গান্ধীর আদর্শ ও শিক্ষাকে কাজে লাগিয়েছেন, নতুন ভরত গঠন অভিযানেও এগুলি সর্বাত্মক প্রয়োগ ঘটাচ্ছেন।
His actions have actualized Mahatma Gandhi’s principles and values.	মহাত্মা গান্ধীর নীতি ও মূল্যবোধগুলি প্রধানমন্ত্রী তাঁর কর্মতৎপরতার মধ্য দিয়ে বাস্তবায়িত করার চেষ্টা করেছেন।
Shri Narendra Modi’s own words written in his blog on October 2, 2018 shows his vision in promoting the legacy of Bapuji.	২০১৮’র দোসরা অক্টোবর নিজের ব্লগে শ্রী নরেন্দ্র মোদী বাপুর পরম্পরাগুলিকে এগিয়ে নিয়ে যেতে তাঁর পরিকল্পনার কথাগুলি উল্লেখ করেছিলেন।
He wrote “India is a land of diversity.	তিনি লিখেছিলেন, ভারত বিবিধতার এক দেশ।
The Prime Minister, Shri Narendra Modi, today chaired his twenty-fifth interaction through PRAGATI – the ICT-based, multi-modal platform for Pro-Active Governance and Timely Implementation.	প্রধানমন্ত্রী শ্রী নরেন্দ্র মোদী বুধবার নতুন দিল্লিতে তথ্য ও কম্পিউটার প্রযুক্তি ভিত্তিক ‘প্রগতি’ মঞ্চে সক্রিয় প্রশাসন ও সময়ানুগ কর্মসূচি রূপায়ন বিষয়ক ২৫-তম মত বিনিময় সভায় পৌরহিত্য করেন।
Resolution of Public Grievances has also been reviewed across a range of sectors.	বিভিন্ন ক্ষেত্রে গণ-অভিযোগ ব্যবস্হার সমাধানের বিষয়টিও বৈঠকে পর্যালোচনা করা হয়।
The Prime Minister congratulated all stakeholders on the completion of 25 PRAGATI interactions.	‘প্রগতি’ মঞ্চে ২৫-তম বৈঠক পূর্ণ হওয়ায় প্রধানমন্ত্রী সংশ্লিষ্ট সকলকে অভিনন্দন জানান।
He said that coordination between the Centre and the States has increased as a result of the PRAGATI mechanism.	তিনি বলেন, ‘প্রগতি’ মঞ্চে বিভিন্ন বিষয়ে আলাপ-আলোচনার দরুন কেন্দ্র ও রাজ্যগুলির মধ্যে সহযোগিতা বৃদ্ধি পেয়েছে।
He said the PRAGATI initiative is a great positive force for our federal structure.	দেশের যুক্তরাষ্ট্রীয় কাঠামো ব্যবস্হার ক্ষেত্রে ‘প্রগতি’ মঞ্চ এক ইতিবাচক ও জোরালো মাধ্যম।
He said that besides stalled projects, the platform has also helped in the review and improvement of several social sector schemes.	তিনি আরও বলেন, বড় মাপের প্রকল্পগুলির পাশাপাশি একাধিক সামাজিক ক্ষেত্রের প্রকল্পের পর্যালোচনায় ও উন্নতিতেও এই মঞ্চ সাহায্য করেছে।
Today, in the twenty-fifth meeting, the Prime Minister reviewed the progress towards handling and resolution of grievances related to the welfare of ex-servicemen.	বুধবার ‘প্রগতি’ বৈঠকে প্রধানমন্ত্রী প্রাক্তন সেনাকর্মীদের কল্যাণের সঙ্গে জড়িত অভিযোগগুলির সুষ্টু সমাধান ও এক্ষেত্রে অগ্রগতির নানা দিক খতিয়ে দেখেন।
He stressed on the importance of improving the speed of grievance disposal, so that the problems of ex-servicemen can be positively resolved in the shortest possible time.	দ্রুত অভিযোগ নিষ্পত্তির প্রয়োজনীতার গুরুত্ব দিয়ে প্রধানমন্ত্রী বলেন, এরফলে প্রাক্তন সেনাকর্মীদের সমস্যাগুলি স্বল্প সময়ের মধ্যেই সমাধান করা যেতে পারে।
The Prime Minister reviewed the progress of ten infrastructure projects in the railway, road, petroleum, power, coal, urban development, and health and family welfare sectors.	প্রধানমন্ত্রী বৈঠকে রেল, সড়ক, পেট্রোলিয়াম, বিদ্যুৎ, কয়লা, নগরোন্নয়ন এবং স্বাস্হ্য ও পরিবার কল্যাণ ক্ষেত্রের সঙ্গে যুক্ত ১০টি পরিকাঠামো প্রকল্পের অগ্রগতি খতিয়ে দেখেন।
These projects are spread over several states including Himachal Pradesh, Uttar Pradesh, Odisha, Andhra Pradesh, Gujarat, Maharashtra, Assam, Sikkim, West Bengal, Bihar, Tamil Nadu and Jharkhand.	এই প্রকল্পগুলি পশ্চিমবঙ্গ সহ হিমাচলপ্রদেশ, উত্তরপ্রদেশ, ওড়িশা, অন্ধ্রপ্রদেশ, গুজরাট, মহারাষ্ট্র, আসাম, সিকিম, বিহার, তামিলনাড়ু ও ঝাড়খন্ডে রূপায়িত হচ্ছে।
The Prime Minister reviewed the progress in implementation of the Pradhan Mantri Krishi Sinchai Yojana.	প্রধানমন্ত্রী কৃষি সিঞ্চাই যোজনা রূপায়নের অগ্রগতিও শ্রী মোদী খতিয়ে দেখেন।
• Each new AIIMS will have 15-20 Super Specialty Departments.	১৫ – ২০টি সুপার স্পেশালিটি ডিপার্টমেন্ট স্থাপনের প্রস্তাবও রয়েছে।
• Each new AIIMS will add around 750 hospital beds.	এই চিকিৎসা প্রতিষ্ঠানগুলিতে রোগী-শয্যা সংখ্যা হবে প্রায় ৭৫০।
PM presents National Bravery Awards to children	বিপদের মূহুর্তে প্রত্যুৎপন্নমতি, দ্রুত চিন্তাভাবনার ক্ষমতা, নিঃস্বার্থ সংকল্প এবং প্রতিবেশী মানুষের জন্য সংবেদনশীলতা হল সাহসিকতার বিভিন্ন উজ্জ্বল দিক।
The Prime Minister, Shri Narendra Modi, today presented the National Bravery Awards to 25 children.	২৫টি ছেলেমেয়েকে জাতীয় সাহসিকতা পুরস্কার প্রদানের সময়ে এই মন্তব্য করেন প্রধানমন্ত্রী শ্রী নরেন্দ্র মোদী।
He said that the book – Life progression of ICCW National Bravery Awardees – which he had released today, touched upon these aspects.	প্রধানমন্ত্রী বলেন, ‘Life progression of ICCW National Bravery Awardees’ নামে যে বইটি তিনি আজ প্রকাশ করেছেন, তাতে উল্লেখ রয়েছে এই সমস্ত বিষয়ের।
Chandigarh Housing Board was appointed as Nodal Agency for implementation of the said scheme.	এই আবাসন নির্মাণ প্রকল্প রূপায়ণের জন্য নোডাল এজেন্সি হিসেবে চন্ডীগড় আবাসন পর্ষদকে দায়িত্ব দেওয়া হয়েছে।
The Prime Minister, Shri Narendra Modi, is grieved to learn about the loss of lives and injuries sustained by the persons in the bus accident of 19-9-2016 near Bennipatti, Madhubani District, Bihar; and the bus accident of of 20-9-2016 near Muhawa village, Attari, Amritsar district, Punjab.	গত১৯ সেপ্টেম্বর বিহারের মধুবনি জেলার বেন্নিপত্তির কাছে এবং পরের দিন অর্থাৎ, ২০সেপ্টেম্বর পাঞ্জাবের অমৃতসর জেলার আটারি-তে মুহাওয়া গ্রামে বাস দুর্ঘটনার সংবাদেমর্মাহত প্রধানমন্ত্রী শ্রী নরেন্দ্র মোদী।
Over 100 beneficiaries of the Pradhan Mantri Mudra Yojana, from across the country, today interacted with Prime Minister Narendra Modi, at his residence.	আজতাঁর বাসভবনে ‘প্রধানমন্ত্রী মুদ্রা যোজনা’র ১০০ জনেরও বেশি সুফল গ্রহীতার সঙ্গেএক আলাপচারিতায় মিলিত হন প্রধানমন্ত্রী শ্রী নরেন্দ্র মোদী।
During the informal interaction with Shri Narendra Modi, many of the beneficiaries explained how their lives had improved through the use of the Mudra loans sanctioned to them.	‘মুদ্রা’ ঋণ সহায়তারসাহায্যে কিভাবে তাঁদের জীবনে ইতিবাচক পরিবর্তন এসেছে, তা এদিন সুফল গ্রহীতারা ব্যাখ্যাকরেন প্রধানমন্ত্রীর কাছে।
Ms. Kiran Kumari, a beneficiary from Bokaro, Jharkhand, who received a loan of Rs. 2 lakh, explained how she started her own toy and gift shop.	ঝাড়খণ্ডেরবোকারো থেকে আগত এক সুফলভোগী শ্রীমতী কিরণ কুমারী জানান, ২ লক্ষ টাকার ঋণ সহায়তাগ্রহণ করে তিনি খেলনা এবং উপহার সামগ্রীর একটি দোকান চালু করেন।
Earlier, she and her husband earned their livelihood selling toys as hawkers.	এর আগে তিনি এবংতাঁর স্বামী বাচ্চাদের খেলনা ফেরি করে জীবিকা নির্বাহ করতেন।
After receiving the loan, she has been able to establish herself as a successful entrepreneur.	কিন্তু ‘মুদ্রা’ ঋণেরসাহায্যে তিনি এখন একজন সফল ব্যবসায়ী হয়ে উঠতে পেরেছেন।
Mr. Sijesh P. from Kannur, Kerala, worked abroad for 8 years.	কেরলেরকান্নুরের অধিবাসী শ্রী সিজেশ পি বিদেশে কাজ করেছেন আট বছরের মতো।
On return to India, he worked as a sales manager in a medical unit.	দেশে ফিরে তিনিএকটি মেডিকেল ইউনিটের সেল্‌স ম্যানেজারের কাজ গ্রহণ করেন।
He enthusiastically explained to the Prime Minister how he was able to set up a unit to produce herbal tooth powder, thanks to a Mudra Loan of Rs. 8.55 lakh.	কিন্তু পরে ৮ লক্ষ ৫৫হাজার টাকার ‘মুদ্রা’ ঋণের সাহায্যে ভেষজ দাঁতের মাজন তৈরির লক্ষ্যে একটি কারখানাস্থাপন করেন।
He even presented some samples to the Prime Minister.	প্রধানমন্ত্রীকে তিনি তাঁর উৎপাদনের কিছু নমুনাও উপহার দেন।
She is now one of the leading manufacturers of Pashmina shawls in her area.	মাত্র ১ লক্ষ টাকারঋণ সহায়তার সুযোগ গ্রহণ করে তিনি এখন তাঁর এলাকায় পশমিনা শাল তৈরি করছেন।
